"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"SM 42:0;3O",0.20701,0.38967,0.33058,0.33383,0.50259,0.60717,0.60506,0.60215
"LPC 20:1",0.20629,0.77354,0.64377,0.96748,0.91166,0.98945,0.97634,0.99883
"Cer d41:1",0.20602,0.61503,0.53074,0.76627,0.75613,0.77535,0.77551,0.78074
"PI 34:2 Isomer B",0.1967,0.16326,0.43746,0.39042,0.55718,0.54876,0.59379,0.60037
"PI 18:0_20:4",0.19566,0.41522,0.60146,0.60114,0.60579,0.75514,0.74768,0.74641
"PC P-36:2 or PC O-36:3",0.19136,1.1346,0.95643,0.86978,0.82433,0.81482,0.8266,0.82114
"PC 24:0",0.19086,0.46179,1.047,0.91964,0.89244,0.8781,0.87267,0.87658
"PE O-16:1_22:6",0.18941,1.2141,1.0771,1.0135,0.96098,0.98635,1.0004,0.9961
"Cer 18:0;2O/24:0",0.1876,0.13439,0.45006,0.4324,0.42946,0.53508,0.53924,0.55598
"SM d32:1",0.18741,1.3388,1.1714,1.0941,1.0306,1.0051,0.99171,0.9853
"SM 30:2;2O (FA 14:0)",0.18717,0.16197,0.27028,0.34575,0.38683,0.4,0.41818,0.4202
"PC 33:1",0.18257,0.83035,0.86778,0.7691,0.74805,0.72925,0.73324,0.74347
"Cer d39:1",0.17698,0.16686,0.67656,0.74705,0.71782,0.74556,0.7362,0.73136
"TG 46:0",0.17542,0.97907,0.99745,1.2496,1.2574,1.2329,1.2315,1.2245
"PC P-36:1 or PC O-36:2 A",0.16912,1.3073,1.0901,0.96149,0.91134,0.89437,0.90897,0.90848
"PC 33:2",0.16748,1.1461,0.95014,0.84133,0.79291,0.77272,0.7633,0.76916
"PC 40:6 Isomer B",0.16675,0.6094,0.50549,0.51753,0.58762,0.8911,0.87942,0.8779
"PE 38:6",0.1646,0.49028,0.92563,0.91823,0.93931,0.91963,1.0545,1.0544
"docosanamide",0.1628,0.78938,0.67045,0.6345,0.62555,0.60963,0.60155,0.60035
